2026-07-20T20:04:10.591Z	info	service@v0.149.0/service.go:241	Starting otelcol-contrib...	{"resource": {"service.instance.id": "c6685ddf-ed52-46bb-b6b9-ac4387ec87f9", "service.name": "otelcol-contrib", "service.version": "0.149.0"}, "Version": "0.149.0", "NumCPU": 10}
2026-07-20T20:04:10.591Z	info	extensions/extensions.go:40	Starting extensions...	{"resource": {"service.instance.id": "c6685ddf-ed52-46bb-b6b9-ac4387ec87f9", "service.name": "otelcol-contrib", "service.version": "0.149.0"}}
2026-07-20T20:04:10.591Z	info	extensions/extensions.go:44	Extension is starting...	{"resource": {"service.instance.id": "c6685ddf-ed52-46bb-b6b9-ac4387ec87f9", "service.name": "otelcol-contrib", "service.version": "0.149.0"}, "otelcol.component.id": "health_check", "otelcol.component.kind": "extension"}
2026-07-20T20:04:10.591Z	info	healthcheckextension@v0.149.0/healthcheckextension.go:32	Starting health_check extension	{"resource": {"service.instance.id": "c6685ddf-ed52-46bb-b6b9-ac4387ec87f9", "service.name": "otelcol-contrib", "service.version": "0.149.0"}, "otelcol.component.id": "health_check", "otelcol.component.kind": "extension", "config": {"NetAddr":{"Endpoint":"0.0.0.0:13133","Transport":"tcp","DialerConfig":{"Timeout":0}},"TLS":{},"CORS":{},"Auth":{},"MaxRequestBodySize":0,"IncludeMetadata":false,"ResponseHeaders":null,"CompressionAlgorithms":null,"ReadTimeout":0,"ReadHeaderTimeout":0,"WriteTimeout":0,"IdleTimeout":0,"Middlewares":null,"KeepAlivesEnabled":false,"Path":"/","ResponseBody":null,"CheckCollectorPipeline":{"Enabled":false,"Interval":"5m","ExporterFailureThreshold":5},"UseV2":false,"GRPCConfig":null,"HTTPConfig":null,"ComponentHealthConfig":null}}
2026-07-20T20:04:10.593Z	info	extensions/extensions.go:61	Extension started.	{"resource": {"service.instance.id": "c6685ddf-ed52-46bb-b6b9-ac4387ec87f9", "service.name": "otelcol-contrib", "service.version": "0.149.0"}, "otelcol.component.id": "health_check", "otelcol.component.kind": "extension"}
2026-07-20T20:04:10.594Z	info	healthcheck/handler.go:131	Health Check state change	{"resource": {"service.instance.id": "c6685ddf-ed52-46bb-b6b9-ac4387ec87f9", "service.name": "otelcol-contrib", "service.version": "0.149.0"}, "otelcol.component.id": "health_check", "otelcol.component.kind": "extension", "status": "ready"}
2026-07-20T20:04:10.594Z	info	service@v0.149.0/service.go:264	Everything is ready. Begin running and processing data.	{"resource": {"service.instance.id": "c6685ddf-ed52-46bb-b6b9-ac4387ec87f9", "service.name": "otelcol-contrib", "service.version": "0.149.0"}}
2026-07-20T20:04:10.595Z	info	franz	kzap@v1.1.2/kzap.go:114	immediate metadata update triggered	{"resource": {"service.instance.id": "c6685ddf-ed52-46bb-b6b9-ac4387ec87f9", "service.name": "otelcol-contrib", "service.version": "0.149.0"}, "otelcol.component.id": "kafka", "otelcol.component.kind": "receiver", "otelcol.signal": "logs", "why": "querying metadata for consumer initialization"}
2026-07-20T20:04:10.599Z	info	franz	kzap@v1.1.2/kzap.go:114	beginning to manage the group lifecycle	{"resource": {"service.instance.id": "c6685ddf-ed52-46bb-b6b9-ac4387ec87f9", "service.name": "otelcol-contrib", "service.version": "0.149.0"}, "otelcol.component.id": "kafka", "otelcol.component.kind": "receiver", "otelcol.signal": "logs", "group": "flowplane-opentelemetry-evidence-20260720t200343z"}
2026-07-20T20:04:10.599Z	info	franz	kzap@v1.1.2/kzap.go:114	beginning autocommit loop	{"resource": {"service.instance.id": "c6685ddf-ed52-46bb-b6b9-ac4387ec87f9", "service.name": "otelcol-contrib", "service.version": "0.149.0"}, "otelcol.component.id": "kafka", "otelcol.component.kind": "receiver", "otelcol.signal": "logs", "group": "flowplane-opentelemetry-evidence-20260720t200343z"}
2026-07-20T20:04:10.599Z	info	franz	kzap@v1.1.2/kzap.go:114	joining group	{"resource": {"service.instance.id": "c6685ddf-ed52-46bb-b6b9-ac4387ec87f9", "service.name": "otelcol-contrib", "service.version": "0.149.0"}, "otelcol.component.id": "kafka", "otelcol.component.kind": "receiver", "otelcol.signal": "logs", "group": "flowplane-opentelemetry-evidence-20260720t200343z"}
2026-07-20T20:04:10.605Z	info	franz	kzap@v1.1.2/kzap.go:114	join returned MemberIDRequired, rejoining with response's MemberID	{"resource": {"service.instance.id": "c6685ddf-ed52-46bb-b6b9-ac4387ec87f9", "service.name": "otelcol-contrib", "service.version": "0.149.0"}, "otelcol.component.id": "kafka", "otelcol.component.kind": "receiver", "otelcol.signal": "logs", "group": "flowplane-opentelemetry-evidence-20260720t200343z", "member_id": "otel-collector-e4f694e4-9f6e-4a15-b227-7404486a1398"}
2026-07-20T20:04:10.606Z	info	franz	kzap@v1.1.2/kzap.go:114	joined, balancing group	{"resource": {"service.instance.id": "c6685ddf-ed52-46bb-b6b9-ac4387ec87f9", "service.name": "otelcol-contrib", "service.version": "0.149.0"}, "otelcol.component.id": "kafka", "otelcol.component.kind": "receiver", "otelcol.signal": "logs", "group": "flowplane-opentelemetry-evidence-20260720t200343z", "member_id": "otel-collector-e4f694e4-9f6e-4a15-b227-7404486a1398", "instance_id": "<nil>", "generation": 1, "balance_protocol": "cooperative-sticky", "leader": true}
2026-07-20T20:04:10.606Z	info	franz	kzap@v1.1.2/kzap.go:114	balancing group as leader	{"resource": {"service.instance.id": "c6685ddf-ed52-46bb-b6b9-ac4387ec87f9", "service.name": "otelcol-contrib", "service.version": "0.149.0"}, "otelcol.component.id": "kafka", "otelcol.component.kind": "receiver", "otelcol.signal": "logs"}
2026-07-20T20:04:10.606Z	info	franz	kzap@v1.1.2/kzap.go:114	balance group member	{"resource": {"service.instance.id": "c6685ddf-ed52-46bb-b6b9-ac4387ec87f9", "service.name": "otelcol-contrib", "service.version": "0.149.0"}, "otelcol.component.id": "kafka", "otelcol.component.kind": "receiver", "otelcol.signal": "logs", "id": "otel-collector-e4f694e4-9f6e-4a15-b227-7404486a1398", "interests": "interested topics: [flowplane.opentelemetry.evidence.20260720t200343z.raw], previously owned: "}
2026-07-20T20:04:10.606Z	info	franz	kzap@v1.1.2/kzap.go:114	balanced	{"resource": {"service.instance.id": "c6685ddf-ed52-46bb-b6b9-ac4387ec87f9", "service.name": "otelcol-contrib", "service.version": "0.149.0"}, "otelcol.component.id": "kafka", "otelcol.component.kind": "receiver", "otelcol.signal": "logs", "plan": "otel-collector-e4f694e4-9f6e-4a15-b227-7404486a1398{flowplane.opentelemetry.evidence.20260720t200343z.raw[0]}"}
2026-07-20T20:04:10.606Z	info	franz	kzap@v1.1.2/kzap.go:114	syncing	{"resource": {"service.instance.id": "c6685ddf-ed52-46bb-b6b9-ac4387ec87f9", "service.name": "otelcol-contrib", "service.version": "0.149.0"}, "otelcol.component.id": "kafka", "otelcol.component.kind": "receiver", "otelcol.signal": "logs", "group": "flowplane-opentelemetry-evidence-20260720t200343z", "protocol_type": "consumer", "protocol": "cooperative-sticky"}
